time,user,uj,step,cycle,error type,error cause,cause message/ddi
2018-01-29 06:47:05,0009,Open and Assign CM WO as Supervisor,Select WO,218,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:47:44,0009,Open and Assign CM WO as Supervisor,Select WO,219,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:48:22,0009,Open and Assign CM WO as Supervisor,Select WO,220,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:48:56,0009,Open and Assign CM WO as Supervisor,Select WO,221,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:49:35,0009,Open and Assign CM WO as Supervisor,Select WO,222,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:50:13,0009,Open and Assign CM WO as Supervisor,Select WO,223,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:50:40,0009,Open and Assign CM WO as Supervisor,Select WO,224,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:51:14,0009,Open and Assign CM WO as Supervisor,Select WO,225,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:51:44,0009,Open and Assign CM WO as Supervisor,Select WO,226,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:52:17,0009,Open and Assign CM WO as Supervisor,Select WO,227,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:53:00,0009,Open and Assign CM WO as Supervisor,Select WO,228,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:53:33,0009,Open and Assign CM WO as Supervisor,Select WO,229,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:54:13,0009,Open and Assign CM WO as Supervisor,Select WO,230,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:54:51,0009,Open and Assign CM WO as Supervisor,Select WO,231,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:55:29,0009,Open and Assign CM WO as Supervisor,Select WO,232,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:56:07,0009,Open and Assign CM WO as Supervisor,Select WO,233,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:56:36,0009,Open and Assign CM WO as Supervisor,Select WO,234,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:57:18,0009,Open and Assign CM WO as Supervisor,Select WO,235,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:57:46,0009,Open and Assign CM WO as Supervisor,Select WO,236,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:58:21,0009,Open and Assign CM WO as Supervisor,Select WO,237,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:59:00,0009,Open and Assign CM WO as Supervisor,Select WO,238,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:59:35,0009,Open and Assign CM WO as Supervisor,Select WO,239,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:00:14,0009,Open and Assign CM WO as Supervisor,Select WO,240,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:00:47,0009,Open and Assign CM WO as Supervisor,Select WO,241,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:01:22,0009,Open and Assign CM WO as Supervisor,Select WO,242,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:02:04,0009,Open and Assign CM WO as Supervisor,Select WO,243,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:02:32,0009,Open and Assign CM WO as Supervisor,Select WO,244,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
